DEBUG 2026-08-13 09:42:17,115 django.db.backends utils:131 (0.048) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 910 LIMIT 21; args=(910,); alias=default
DEBUG 2026-08-13 09:42:17,162 django.db.backends utils:131 (0.046) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 911 LIMIT 21; args=(911,); alias=default
DEBUG 2026-08-13 09:42:17,205 django.db.backends utils:131 (0.041) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 912 LIMIT 21; args=(912,); alias=default
DEBUG 2026-08-13 09:42:17,266 django.db.backends utils:131 (0.059) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 913 LIMIT 21; args=(913,); alias=default
DEBUG 2026-08-13 09:42:17,316 django.db.backends utils:131 (0.048) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 914 LIMIT 21; args=(914,); alias=default
DEBUG 2026-08-13 09:42:17,361 django.db.backends utils:131 (0.043) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 915 LIMIT 21; args=(915,); alias=default
DEBUG 2026-08-13 09:42:17,407 django.db.backends utils:131 (0.043) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 916 LIMIT 21; args=(916,); alias=default
DEBUG 2026-08-13 09:42:17,453 django.db.backends utils:131 (0.043) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 920 LIMIT 21; args=(920,); alias=default
DEBUG 2026-08-13 09:42:17,497 django.db.backends utils:131 (0.041) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 923 LIMIT 21; args=(923,); alias=default
DEBUG 2026-08-13 09:42:17,543 django.db.backends utils:131 (0.044) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 924 LIMIT 21; args=(924,); alias=default
DEBUG 2026-08-13 09:42:17,587 django.db.backends utils:131 (0.042) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 925 LIMIT 21; args=(925,); alias=default
DEBUG 2026-08-13 09:42:17,631 django.db.backends utils:131 (0.043) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 926 LIMIT 21; args=(926,); alias=default
DEBUG 2026-08-13 09:42:17,675 django.db.backends utils:131 (0.042) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 927 LIMIT 21; args=(927,); alias=default
DEBUG 2026-08-13 09:42:17,724 django.db.backends utils:131 (0.047) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 928 LIMIT 21; args=(928,); alias=default
DEBUG 2026-08-13 09:42:17,769 django.db.backends utils:131 (0.044) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 929 LIMIT 21; args=(929,); alias=default
